7,14,1
1,14,1
5,14,1
9,2,1
5,2,1
3,2,1
10,7,1
7,7,1
4,7,1
1,9,1
5,9,1
6,9,1
4,5,1
10,5,1
8,5,1
8,19,1
4,19,1
1,19,1
3,7,1
2,7,1
4,7,1
1,12,1
7,12,1
3,12,1
9,14,1
1,14,1
5,14,1
4,10,1
3,10,1
6,10,1
1,9,2
10,9,2
4,9,2
5,1,2
2,1,2
7,1,2
2,14,2
10,14,2
6,14,2
3,7,2
4,7,2
2,7,2
1,20,2
8,20,2
5,20,2
4,14,2
8,14,2
3,14,2
7,6,2
4,6,2
10,6,2
10,19,2
7,19,2
6,19,2
2,12,2
8,12,2
9,12,2
1,25,2
2,25,2
6,25,2
4,19,3
8,19,3
10,19,3
5,16,3
7,16,3
2,16,3
3,13,3
10,13,3
9,13,3
7,5,3
1,5,3
6,5,3
4,3,3
1,3,3
7,3,3
8,24,3
3,24,3
4,24,3
1,21,3
9,21,3
10,21,3
10,18,3
8,18,3
5,18,3
3,10,3
1,10,3
8,10,3
2,8,3
5,8,3
7,8,3
1,3,4
9,3,4
4,3,4
6,2,4
2,2,4
10,2,4
4,8,4
9,8,4
7,8,4
3,15,4
10,15,4
4,15,4
8,13,4
3,13,4
4,13,4
6,8,4
10,8,4
8,8,4
6,7,4
2,7,4
8,7,4
8,13,4
6,13,4
9,13,4
7,20,4
9,20,4
4,20,4
8,18,4
1,18,4
10,18,4
8,18,5
10,18,5
1,18,5
5,11,5
10,11,5
1,11,5
1,10,5
9,10,5
2,10,5
6,8,5
7,8,5
1,8,5
4,13,5
6,13,5
7,13,5
5,23,5
1,23,5
3,23,5
9,16,5
8,16,5
3,16,5
1,15,5
9,15,5
4,15,5
7,13,5
9,13,5
6,13,5
1,18,5
3,18,5
7,18,5
7,7,6
8,7,6
4,7,6
3,13,6
2,13,6
6,13,6
1,10,6
10,10,6
6,10,6
3,5,6
7,5,6
4,5,6
2,17,6
10,17,6
5,17,6
10,12,6
4,12,6
2,12,6
9,18,6
2,18,6
8,18,6
7,15,6
4,15,6
5,15,6
5,10,6
3,10,6
9,10,6
4,22,6
6,22,6
5,22,6
1,20,7
5,20,7
4,20,7
9,13,7
8,13,7
6,13,7
6,15,7
2,15,7
7,15,7
4,2,7
9,2,7
2,2,7
2,19,7
1,19,7
3,19,7
8,25,7
3,25,7
6,25,7
2,18,7
9,18,7
3,18,7
2,20,7
9,20,7
10,20,7
8,7,7
1,7,7
5,7,7
8,24,7
7,24,7
2,24,7
8,7,8
10,7,8
4,7,8
9,15,8
2,15,8
4,15,8
2,17,8
1,17,8
4,17,8
5,12,8
1,12,8
7,12,8
