1,0,0,1,7
1,1,1,0,2
2,0,1,1,6
2,1,0,0,8
3,0,0,0,1
3,1,1,1,11
4,0,1,1,0
4,1,0,0,10
5,0,0,1,3
5,1,1,0,4
6,0,0,0,2
6,1,1,1,3
7,0,1,1,10
7,1,0,0,6
8,0,0,1,7
8,1,1,0,8
9,0,1,1,2
9,1,0,0,10
10,0,0,0,0
10,1,1,1,9
11,0,1,0,9
11,1,0,1,2
12,0,0,0,0
12,1,1,1,10
13,0,0,1,10
13,1,1,0,6
14,0,0,0,9
14,1,1,1,3
15,0,1,1,8
15,1,0,0,10
16,0,1,1,7
16,1,0,0,6
17,0,0,0,4
17,1,1,1,10
18,0,1,1,3
18,1,0,0,11
19,0,1,1,9
19,1,0,0,4
20,0,0,0,10
20,1,1,1,9
21,0,1,0,0
21,1,0,1,4
22,0,0,0,9
22,1,1,1,3
23,0,1,0,10
23,1,0,1,11
24,0,1,1,7
24,1,0,0,0
25,0,0,1,3
25,1,1,0,8
26,0,0,0,0
26,1,1,1,6
27,0,0,1,10
27,1,1,0,11
28,0,0,1,8
28,1,1,0,0
29,0,1,0,0
29,1,0,1,7
30,0,0,0,3
30,1,1,1,2
31,0,0,0,2
31,1,1,1,3
32,0,0,0,4
32,1,1,1,1
33,0,1,0,8
33,1,0,1,6
34,0,1,1,5
34,1,0,0,11
35,0,1,0,9
35,1,0,1,9
36,0,1,1,2
36,1,0,0,3
37,0,1,0,9
37,1,0,1,4
38,0,1,1,11
38,1,0,0,1
39,0,0,0,0
39,1,1,1,6
40,0,1,0,4
40,1,0,1,4
41,0,0,0,8
41,1,1,1,4
42,0,0,1,0
42,1,1,0,10
43,0,0,0,4
43,1,1,1,10
44,0,0,0,9
44,1,1,1,5
45,0,1,1,0
45,1,0,0,11
46,0,0,0,0
46,1,1,1,11
47,0,1,0,2
47,1,0,1,11
48,0,0,0,11
48,1,1,1,5
49,0,1,0,6
49,1,0,1,6
50,0,1,0,3
50,1,0,1,2
51,0,1,0,10
51,1,0,1,7
52,0,0,1,9
52,1,1,0,9
53,0,0,1,2
53,1,1,0,1
54,0,0,0,6
54,1,1,1,7
55,0,1,1,1
55,1,0,0,1
56,0,0,1,6
56,1,1,0,0
57,0,0,1,1
57,1,1,0,11
58,0,0,1,10
58,1,1,0,10
59,0,0,0,2
