38,19,42:46,1
118,19,16:15,1
117,19,10:45,1
198,19,35:43,1
45,19,57:46,1
181,19,00:35,1
32,59,52:48,1
21,59,07:20,1
189,59,32:36,1
117,59,33:58,1
68,59,03:45,1
13,59,58:41,1
197,99,50:04,1
53,99,55:35,1
46,99,55:32,1
37,99,55:19,1
49,99,51:18,1
89,99,46:29,1
143,23,03:56,1
71,23,02:52,1
97,23,55:41,1
42,23,12:15,1
167,23,49:27,1
164,23,11:18,1
199,91,37:31,1
145,91,46:57,1
42,91,39:13,1
50,91,48:00,1
43,91,04:27,1
7,91,06:51,1
160,51,42:55,1
142,51,05:18,1
194,51,10:39,1
14,51,17:29,1
156,51,31:06,1
64,51,26:36,1
136,94,37:26,1
175,94,49:15,1
88,94,09:30,1
139,94,08:02,1
93,94,51:47,1
124,94,33:48,1
65,45,13:24,1
62,45,40:45,1
181,45,06:23,1
183,45,17:58,1
112,45,10:54,1
197,45,08:36,1
174,56,43:06,1
150,56,01:59,1
84,56,39:05,1
43,56,58:52,1
14,56,31:20,1
193,56,45:24,1
80,65,03:50,1
135,65,34:18,1
160,65,30:44,1
56,65,41:01,1
167,65,06:04,1
192,65,34:24,1
30,116,11:14,2
122,116,01:55,2
50,116,36:48,2
135,116,57:09,2
31,116,04:46,2
185,116,36:27,2
174,75,08:44,2
183,75,41:43,2
39,75,34:37,2
159,75,02:31,2
169,75,30:14,2
165,75,46:29,2
122,33,29:20,2
194,33,52:04,2
13,33,36:28,2
51,33,24:38,2
64,33,51:03,2
41,33,52:59,2
32,19,12:19,2
65,19,45:16,2
18,19,13:40,2
177,19,21:36,2
188,19,09:33,2
103,19,32:13,2
179,8,11:58,2
117,8,43:32,2
135,8,38:50,2
50,8,22:52,2
156,8,41:23,2
149,8,22:58,2
154,87,09:13,2
69,87,49:59,2
103,87,39:00,2
67,87,56:01,2
182,87,34:56,2
25,87,26:58,2
70,111,31:00,2
78,111,07:53,2
10,111,17:56,2
7,111,17:53,2
143,111,02:14,2
76,111,46:33,2
77,42,11:05,2
165,42,32:55,2
186,42,09:47,2
161,42,31:54,2
6,42,39:24,2
23,42,48:39,2
187,22,25:29,2
198,22,43:36,2
48,22,05:06,2
22,22,20:21,2
6,22,33:23,2
178,22,34:38,2
1,7,34:27,2
175,7,17:23,2
189,7,47:25,2
4,7,35:15,2
181,7,22:04,2
82,7,51:22,2
51,50,51:59,3
55,50,07:03,3
42,50,41:03,3
154,50,32:33,3
148,50,36:31,3
141,50,33:56,3
112,35,24:53,3
150,35,49:49,3
130,35,27:58,3
29,35,43:41,3
167,35,29:41,3
78,35,17:20,3
101,1,07:48,3
118,1,23:23,3
111,1,07:31,3
182,1,20:55,3
90,1,19:52,3
23,1,34:58,3
40,102,54:35,3
124,102,21:39,3
28,102,43:17,3
177,102,57:15,3
23,102,15:10,3
76,102,33:45,3
36,39,51:34,3
195,39,01:54,3
142,39,47:21,3
150,39,58:48,3
38,39,15:39,3
44,39,43:15,3
83,5,05:20,3
30,5,53:45,3
173,5,41:57,3
201,5,50:11,3
121,5,30:31,3
73,5,30:06,3
130,120,46:38,3
29,120,39:58,3
141,120,10:43,3
23,120,38:15,3
33,120,48:54,3
121,120,11:39,3
53,4,01:40,3
127,4,03:57,3
13,4,34:32,3
172,4,38:09,3
130,4,47:14,3
151,4,27:39,3
177,106,18:43,3
48,106,06:01,3
11,106,05:41,3
149,106,40:16,3
182,106,07:58,3
60,106,27:45,3
83,72,56:31,3
31,72,23:44,3
161,72,19:04,3
77,72,11:00,3
27,72,17:22,3
79,72,42:52,3
23,38,34:18,4
41,38,32:36,4
88,38,47:08,4
153,38,12:08,4
197,38,51:13,4
166,38,43:26,4
81,81,08:42,4
155,81,34:11,4
53,81,01:38,4
69,81,43:01,4
40,81,05:31,4
171,81,11:24,4
121,87,16:55,4
191,87,41:02,4
154,87,23:56,4
169,87,58:02,4
11,87,58:10,4
139,87,07:16,4
109,13,31:47,4
98,13,20:29,4
40,13,25:15,4
50,13,13:28,4
112,13,40:25,4
47,13,54:24,4
101,72,24:22,4
67,72,47:11,4
86,72,21:33,4
8,72,27:08,4
187,72,19:10,4
69,72,10:30,4
24,73,21:00,4
