1,0,19,225,17,3,3,188,1083,16,248
1,0,59,1349,29,20,7,85,620,19,567
1,0,99,365,4,6,12,94,989,13,975
1,0,23,944,17,8,13,41,404,11,161
1,0,91,1234,12,4,25,144,482,12,492
1,1,51,53,29,21,8,114,943,8,257
1,1,94,1247,7,22,20,198,1188,45,743
1,1,45,1412,18,10,17,174,853,34,893
1,1,56,990,12,24,2,25,764,41,1039
1,1,65,517,7,27,23,182,1045,49,1160
2,0,116,563,22,22,4,183,253,50,598
2,0,75,634,16,19,7,166,881,21,1083
2,0,33,25,22,3,16,49,393,46,578
2,0,19,89,12,23,4,102,460,39,1126
2,0,8,1116,1,22,15,41,251,30,246
2,1,87,405,29,7,6,24,229,8,583
2,1,111,1313,2,3,9,17,973,2,1023
2,1,42,971,14,10,23,116,547,38,664
2,1,22,855,4,26,7,105,308,38,700
2,1,7,820,27,8,23,24,540,14,246
3,0,50,603,7,12,1,167,313,14,760
3,0,35,1319,20,23,21,5,327,37,872
3,0,1,663,21,28,15,8,527,5,196
3,0,102,1419,19,27,12,141,444,10,156
3,0,39,1397,23,0,23,81,1189,25,507
3,1,5,779,12,23,15,50,585,10,704
3,1,120,149,20,14,21,191,428,27,1183
3,1,4,227,20,9,5,28,606,3,955
3,1,106,938,13,22,12,22,292,2,1054
3,1,72,852,0,18,5,123,367,44,331
4,0,38,1135,18,4,6,91,927,45,363
4,0,81,1322,26,15,11,29,1116,18,614
4,0,87,713,7,1,1,57,1187,7,332
4,0,13,256,15,20,2,188,1129,22,1195
4,0,72,977,6,15,2,171,1186,37,674
4,1,73,60,19,16,17,196,368,44,526
4,1,108,81,29,18,23,59,1098,44,172
4,1,19,233,7,11,11,30,764,6,777
4,1,18,624,28,27,23,112,543,20,330
4,1,98,320,10,19,25,165,464,12,1017
5,0,11,32,6,29,17,41,1117,47,236
5,0,12,1110,14,11,1,21,1168,3,1020
5,0,41,781,4,6,14,46,569,17,668
5,0,78,445,30,9,13,100,682,21,206
5,0,27,1489,8,7,17,45,257,42,1001
5,1,35,190,23,11,4,43,1117,23,588
5,1,20,1354,16,7,13,5,1105,21,230
5,1,86,542,15,19,2,19,878,2,678
5,1,15,1190,14,18,20,184,741,34,964
5,1,57,744,10,5,5,188,526,21,1160
6,0,100,432,5,2,8,20,188,39,723
6,0,52,988,7,30,11,104,243,38,709
6,0,80,975,11,22,11,182,298,32,739
6,0,53,1252,23,5,12,79,628,25,1039
6,0,32,81,0,30,9,20,352,50,714
6,1,98,1285,13,30,16,136,719,47,237
6,1,64,1015,21,20,10,46,326,5,1154
6,1,96,1256,20,28,21,53,324,21,468
6,1,13,831,16,1,13,84,982,11,1038
6,1,68,506,25,21,24,154,314,28,904
7,0,114,405,25,14,16,162,407,30,438
7,0,1,420,26,20,10,99,168,1,971
7,0,37,226,24,20,24,147,647,9,641
7,0,55,969,26,5,14,79,757,33,945
