1,0,0,1,9
1,1,1,0,8
2,0,0,0,10
2,1,1,1,7
3,0,1,0,1
3,1,0,1,4
4,0,0,0,0
4,1,1,1,2
5,0,0,0,10
5,1,1,1,6
6,0,0,0,6
6,1,1,1,11
7,0,1,1,9
7,1,0,0,11
8,0,1,0,11
8,1,0,1,4
9,0,1,1,0
9,1,0,0,7
10,0,0,0,9
10,1,1,1,8
11,0,1,0,6
11,1,0,1,5
12,0,0,0,0
12,1,1,1,7
13,0,0,0,3
13,1,1,1,6
14,0,0,1,0
14,1,1,0,0
15,0,0,0,2
15,1,1,1,10
16,0,0,0,6
16,1,1,1,4
17,0,1,1,9
17,1,0,0,9
18,0,0,0,4
18,1,1,1,2
19,0,1,0,3
19,1,0,1,8
20,0,0,0,2
20,1,1,1,9
21,0,0,1,5
21,1,1,0,11
22,0,1,0,2
22,1,0,1,7
23,0,0,0,3
23,1,1,1,9
24,0,1,0,7
24,1,0,1,6
25,0,1,1,9
25,1,0,0,4
26,0,0,0,4
26,1,1,1,3
27,0,1,1,9
27,1,0,0,6
28,0,0,0,0
28,1,1,1,6
29,0,0,0,11
29,1,1,1,2
30,0,1,1,5
30,1,0,0,10
